scenario_id,ego_v,hit_point,collision,eb_intervention,dv_collision,v_mean,a_mean,a_jerk,a_min
1.0,13.88888888888889,0.0,0.0,0.0,0.0,7.26827485380119,-2.9545454545454546,29.0,-4.0
1.0,13.88888888888889,10.0,0.0,0.0,0.0,6.882277318640979,-2.9545454545454546,27.0,-4.0
1.0,13.88888888888889,20.0,0.0,0.0,0.0,7.033006535947731,-2.76,43.0,-4.0
1.0,13.88888888888889,30.0,0.0,0.0,0.0,6.700396825396842,-2.9545454545454546,31.0,-4.0
1.0,13.88888888888889,40.0,0.0,0.0,0.0,6.7929211469534225,-2.9545454545454546,31.0,-4.0
1.0,13.88888888888889,50.0,0.0,0.0,0.0,6.995244821092297,-3.0476190476190474,29.0,-4.0
1.0,13.88888888888889,800.0,0.0,0.0,0.0,8.678888888888908,-3.0526315789473686,23.0,-4.0
2.0,13.88888888888889,0.0,0.0,0.0,0.0,7.182367149758476,-3.25,47.0,-4.0
2.0,13.88888888888889,10.0,0.0,0.0,0.0,6.764092140921432,-2.869565217391304,45.0,-4.0
2.0,13.88888888888889,20.0,0.0,0.0,0.0,6.944771241830087,-2.909090909090909,37.0,-4.0
2.0,13.88888888888889,30.0,0.0,0.0,0.0,7.009651600753317,-2.909090909090909,39.0,-4.0
2.0,13.88888888888889,40.0,0.0,0.0,0.0,6.583730158730182,-3.0454545454545454,39.0,-4.0
2.0,13.88888888888889,50.0,0.0,0.0,0.0,6.606488888888912,-3.1904761904761907,43.0,-4.0
3.0,13.88888888888889,0.0,0.0,0.0,0.0,6.720189701897041,-3.5789473684210527,57.0,-4.0
3.0,13.88888888888889,10.0,0.0,0.0,0.0,7.571457696228359,-3.0,41.0,-4.0
3.0,13.88888888888889,20.0,0.0,0.0,0.0,6.688082437276008,-3.1904761904761907,43.0,-4.0
3.0,13.88888888888889,30.0,0.0,0.0,0.0,7.716458982346852,-3.2777777777777777,35.0,-4.0
3.0,13.88888888888889,40.0,0.0,0.0,0.0,8.345959595959615,-3.1176470588235294,41.0,-4.0
3.0,13.88888888888889,50.0,0.0,0.0,0.0,8.080555555555575,-3.411764705882353,47.0,-4.0
4.0,13.88888888888889,0.0,0.0,0.0,0.0,7.45960960960963,-3.3684210526315788,27.0,-4.0
4.0,13.88888888888889,10.0,0.0,0.0,0.0,7.0113465160075545,-3.4,35.0,-4.0
4.0,13.88888888888889,20.0,0.0,0.0,0.0,7.0113465160075545,-3.4,35.0,-4.0
4.0,13.88888888888889,30.0,0.0,0.0,0.0,7.988888888888907,-3.6470588235294117,45.0,-4.0
4.0,13.88888888888889,40.0,0.0,0.0,0.0,6.957376283846893,-3.5789473684210527,39.0,-4.0
4.0,13.88888888888889,50.0,0.0,0.0,0.0,7.895555555555576,-3.5555555555555554,43.0,-4.0
9.0,13.88888888888889,-100.0,0.0,0.0,0.0,13.395446265938087,-2.0,36.0,-4.0
9.0,13.88888888888889,200.0,0.0,0.0,0.0,11.897584541062821,-2.3529411764705883,99.0,-4.0
