scenario_id,ego_v,hit_point,collision,eb_intervention,dv_collision,v_mean,a_mean,a_jerk,a_min
1.0,13.88888888888889,0.0,1.0,1.0,5.53888888888892,12.649658119658131,-5.256410256410256,37.0,-10.0
1.0,13.88888888888889,10.0,1.0,1.0,5.53888888888892,12.649658119658131,-5.256410256410256,37.0,-10.0
1.0,13.88888888888889,20.0,1.0,1.0,5.53888888888892,12.649658119658131,-5.256410256410256,37.0,-10.0
1.0,13.88888888888889,30.0,0.0,1.0,0.0,7.938835470085493,-4.555555555555555,52.0,-10.0
1.0,13.88888888888889,40.0,0.0,1.0,0.0,7.183719806763296,-4.902777777777778,57.0,-10.0
1.0,13.88888888888889,50.0,0.0,1.0,0.0,7.183719806763296,-4.902777777777778,57.0,-10.0
1.0,13.88888888888889,800.0,0.0,0.0,0.0,13.510200364298742,-2.0,122.0,-2.0
2.0,13.88888888888889,0.0,0.0,0.0,0.0,6.16165008291876,-3.0454545454545454,67.0,-4.0
2.0,13.88888888888889,10.0,0.0,0.0,0.0,6.402067183462554,-3.142857142857143,59.0,-4.0
2.0,13.88888888888889,20.0,0.0,0.0,0.0,6.208437761069362,-2.9565217391304346,57.0,-4.0
2.0,13.88888888888889,30.0,0.0,0.0,0.0,6.500306211723554,-2.9545454545454546,47.0,-4.0
2.0,13.88888888888889,40.0,0.0,0.0,0.0,6.652598566308264,-2.8636363636363638,51.0,-4.0
2.0,13.88888888888889,50.0,0.0,0.0,0.0,6.7096205962059825,-3.2,45.0,-4.0
3.0,13.88888888888889,0.0,0.0,0.0,0.0,7.186714975845432,-3.210526315789474,65.0,-4.0
3.0,13.88888888888889,10.0,0.0,0.0,0.0,6.829384756657505,-2.9047619047619047,49.0,-4.0
3.0,13.88888888888889,20.0,0.0,0.0,0.0,6.986770244821113,-3.05,49.0,-4.0
3.0,13.88888888888889,30.0,0.0,0.0,0.0,6.716937669376714,-2.8181818181818183,35.0,-4.0
3.0,13.88888888888889,40.0,0.0,0.0,0.0,6.985922787193995,-3.3684210526315788,53.0,-4.0
3.0,13.88888888888889,50.0,0.0,0.0,0.0,7.452402402402422,-3.2941176470588234,43.0,-4.0
4.0,13.88888888888889,0.0,0.0,0.0,0.0,7.714589823468348,-3.5,29.0,-4.0
4.0,13.88888888888889,10.0,0.0,0.0,0.0,7.714589823468348,-3.5,29.0,-4.0
4.0,13.88888888888889,20.0,0.0,0.0,0.0,7.502979797979818,-3.3157894736842106,35.0,-4.0
4.0,13.88888888888889,30.0,0.0,0.0,0.0,7.384424603174623,-3.3684210526315788,35.0,-4.0
4.0,13.88888888888889,40.0,0.0,0.0,0.0,6.669534050179232,-3.142857142857143,39.0,-4.0
4.0,13.88888888888889,50.0,0.0,0.0,0.0,7.854603174603194,-3.2941176470588234,47.0,-4.0
9.0,13.88888888888889,-100.0,0.0,0.0,0.0,12.608888888888908,-2.7142857142857144,29.0,-4.0
9.0,13.88888888888889,200.0,0.0,0.0,0.0,11.913526570048326,-2.235294117647059,91.0,-4.0
