scenario_id,ego_v,hit_point,collision,eb_intervention,dv_collision,v_mean,a_mean,a_jerk,a_min
1.0,13.88888888888889,0.0,0.0,1.0,0.0,6.662186379928325,-2.765625,64.0,-10.0
1.0,13.88888888888889,10.0,0.0,1.0,0.0,7.064102564102572,-2.6315789473684212,64.0,-10.0
1.0,13.88888888888889,20.0,0.0,1.0,0.0,7.124281609195412,-2.5984848484848486,54.0,-10.0
1.0,13.88888888888889,30.0,0.0,0.0,0.0,8.706783625731017,-3.189189189189189,43.0,-4.0
1.0,13.88888888888889,40.0,0.0,0.0,0.0,8.029665587918036,-3.28,53.0,-4.0
1.0,13.88888888888889,50.0,0.0,0.0,0.0,7.641666666666678,-3.276315789473684,61.0,-4.0
1.0,13.88888888888889,800.0,0.0,0.0,0.0,11.686031746031764,-2.024390243902439,255.0,-4.0
2.0,13.88888888888889,0.0,0.0,0.0,0.0,6.996939736346529,-3.073170731707317,123.0,-4.0
2.0,13.88888888888889,10.0,0.0,0.0,0.0,6.996939736346529,-3.073170731707317,123.0,-4.0
2.0,13.88888888888889,20.0,0.0,0.0,0.0,7.057264957264974,-3.048780487804878,123.0,-4.0
2.0,13.88888888888889,30.0,0.0,0.0,0.0,7.494343434343458,-2.755813953488372,115.0,-4.0
2.0,13.88888888888889,40.0,0.0,0.0,0.0,7.363442460317482,-2.9753086419753085,113.0,-4.0
2.0,13.88888888888889,50.0,0.0,0.0,0.0,7.428978978979,-2.9382716049382718,103.0,-4.0
3.0,13.88888888888889,0.0,0.0,0.0,0.0,7.428978978979,-2.9382716049382718,103.0,-4.0
3.0,13.88888888888889,10.0,0.0,0.0,0.0,7.497525252525273,-2.9625,99.0,-4.0
3.0,13.88888888888889,20.0,0.0,0.0,0.0,7.440240240240263,-3.0,99.0,-4.0
3.0,13.88888888888889,30.0,0.0,0.0,0.0,7.500707070707091,-3.0,101.0,-4.0
3.0,13.88888888888889,40.0,0.0,0.0,0.0,7.517070707070728,-3.0256410256410255,101.0,-4.0
3.0,13.88888888888889,50.0,0.0,0.0,0.0,7.790303983228532,-3.1506849315068495,101.0,-4.0
4.0,13.88888888888889,0.0,0.0,0.0,0.0,8.428684807256255,-3.3055555555555554,59.0,-4.0
4.0,13.88888888888889,10.0,0.0,0.0,0.0,8.076633986928124,-3.3194444444444446,69.0,-4.0
4.0,13.88888888888889,20.0,0.0,0.0,0.0,8.012189859762696,-3.4411764705882355,79.0,-4.0
4.0,13.88888888888889,30.0,0.0,0.0,0.0,8.005879180151043,-3.2714285714285714,93.0,-4.0
4.0,13.88888888888889,40.0,0.0,0.0,0.0,7.868412698412721,-3.1506849315068495,93.0,-4.0
4.0,13.88888888888889,50.0,0.0,0.0,0.0,7.872222222222243,-3.081081081081081,101.0,-4.0
9.0,13.88888888888889,-100.0,0.0,0.0,0.0,12.897482638888905,-2.064516129032258,65.0,-4.0
9.0,13.88888888888889,200.0,0.0,0.0,0.0,11.949758454106279,-2.208955223880597,289.0,-4.0
