scenario_id,ego_v,hit_point,collision,eb_intervention,dv_collision,v_mean,a_mean,a_jerk,a_min
1.0,13.88888888888889,0.0,0.0,0.0,0.0,3.84222222222222,-2.4814814814814814,28.0,-4.0
1.0,13.88888888888889,10.0,0.0,0.0,0.0,3.84222222222222,-2.4814814814814814,28.0,-4.0
1.0,13.88888888888889,20.0,0.0,0.0,0.0,4.053801169590642,-2.310344827586207,26.0,-4.0
1.0,13.88888888888889,30.0,0.0,0.0,0.0,4.043274853801168,-2.310344827586207,26.0,-4.0
1.0,13.88888888888889,40.0,0.0,0.0,0.0,4.043274853801168,-2.310344827586207,26.0,-4.0
1.0,13.88888888888889,50.0,0.0,0.0,0.0,3.9058380414312595,-2.310344827586207,24.0,-4.0
1.0,13.88888888888889,800.0,0.0,0.0,0.0,3.916007532956684,-2.4814814814814814,28.0,-4.0
2.0,13.88888888888889,0.0,0.0,0.0,0.0,6.574603174603169,-3.3684210526315788,20.0,-4.0
2.0,13.88888888888889,10.0,0.0,0.0,0.0,5.48888888888889,-3.3,16.0,-4.0
2.0,13.88888888888889,20.0,0.0,0.0,0.0,5.48888888888889,-3.3,16.0,-4.0
2.0,13.88888888888889,30.0,0.0,0.0,0.0,5.48888888888889,-3.3,16.0,-4.0
2.0,13.88888888888889,40.0,0.0,0.0,0.0,5.6254742547425485,-3.473684210526316,20.0,-4.0
2.0,13.88888888888889,50.0,0.0,0.0,0.0,6.794771241830061,-3.4444444444444446,12.0,-4.0
3.0,13.88888888888889,0.0,0.0,0.0,0.0,6.967676767676764,-3.6470588235294117,16.0,-4.0
3.0,13.88888888888889,10.0,0.0,0.0,0.0,7.3985663082437245,-3.5294117647058822,12.0,-4.0
3.0,13.88888888888889,20.0,0.0,0.0,0.0,7.411469534050178,-3.5294117647058822,16.0,-4.0
3.0,13.88888888888889,30.0,0.0,0.0,0.0,7.398566308243725,-3.5294117647058822,16.0,-4.0
3.0,13.88888888888889,40.0,0.0,0.0,0.0,6.967676767676764,-3.4444444444444446,16.0,-4.0
3.0,13.88888888888889,50.0,0.0,0.0,0.0,7.688888888888888,-3.411764705882353,16.0,-4.0
4.0,13.88888888888889,0.0,0.0,0.0,0.0,8.555555555555554,-4.0,8.0,-4.0
4.0,13.88888888888889,10.0,0.0,0.0,0.0,8.555555555555554,-4.0,8.0,-4.0
4.0,13.88888888888889,20.0,0.0,0.0,0.0,7.220138888888889,-3.388888888888889,18.0,-4.0
4.0,13.88888888888889,30.0,0.0,0.0,0.0,7.916475095785438,-3.625,20.0,-4.0
4.0,13.88888888888889,40.0,0.0,0.0,0.0,8.466666666666661,-3.857142857142857,20.0,-4.0
4.0,13.88888888888889,50.0,0.0,0.0,0.0,8.525925925925922,-3.7142857142857144,12.0,-4.0
9.0,13.88888888888889,-100.0,0.0,0.0,0.0,13.751388888888888,-1.0,10.0,-1.0
9.0,13.88888888888889,200.0,0.0,0.0,0.0,12.120467836257314,-4.0,8.0,-4.0
