scenario_id,ego_v,hit_point,collision,eb_intervention,dv_collision,v_mean,a_mean,a_jerk,a_min
1.0,13.88888888888889,0.0,0.0,0.0,0.0,8.084561965811965,-3.626865671641791,31.0,-4.0
1.0,13.88888888888889,10.0,0.0,0.0,0.0,8.477272727272737,-3.588235294117647,47.0,-4.0
1.0,13.88888888888889,20.0,0.0,0.0,0.0,9.03458781362008,-3.6129032258064515,33.0,-4.0
1.0,13.88888888888889,30.0,0.0,0.0,0.0,9.988888888888903,-3.5918367346938775,35.0,-4.0
1.0,13.88888888888889,40.0,0.0,0.0,0.0,10.194986449864501,-3.510204081632653,39.0,-4.0
1.0,13.88888888888889,50.0,0.0,0.0,0.0,10.128647925033473,-3.5918367346938775,45.0,-4.0
2.0,13.88888888888889,0.0,0.0,0.0,0.0,5.880147630147627,-3.043956043956044,117.0,-4.0
2.0,13.88888888888889,10.0,0.0,0.0,0.0,6.319715956558061,-3.056179775280899,97.0,-4.0
2.0,13.88888888888889,20.0,0.0,0.0,0.0,6.762679211469534,-3.0963855421686746,97.0,-4.0
2.0,13.88888888888889,30.0,0.0,0.0,0.0,6.412934690415606,-3.0454545454545454,97.0,-4.0
2.0,13.88888888888889,40.0,0.0,0.0,0.0,6.7606630824372775,-3.0843373493975905,97.0,-4.0
2.0,13.88888888888889,50.0,0.0,0.0,0.0,6.987222222222223,-2.9879518072289155,75.0,-4.0
3.0,13.88888888888889,0.0,0.0,0.0,0.0,6.992638888888891,-3.074074074074074,97.0,-4.0
3.0,13.88888888888889,10.0,0.0,0.0,0.0,6.947153351698808,-2.9404761904761907,81.0,-4.0
3.0,13.88888888888889,20.0,0.0,0.0,0.0,6.939715335169882,-2.9523809523809526,91.0,-4.0
3.0,13.88888888888889,30.0,0.0,0.0,0.0,7.550600600600602,-3.0259740259740258,85.0,-4.0
3.0,13.88888888888889,40.0,0.0,0.0,0.0,7.291497584541065,-3.0,109.0,-4.0
3.0,13.88888888888889,50.0,0.0,0.0,0.0,7.613434343434344,-3.081081081081081,93.0,-4.0
4.0,13.88888888888889,0.0,0.0,0.0,0.0,8.230065359477127,-3.1153846153846154,43.0,-4.0
4.0,13.88888888888889,10.0,0.0,0.0,0.0,7.439773844641102,-3.0253164556962027,53.0,-4.0
4.0,13.88888888888889,20.0,0.0,0.0,0.0,7.372222222222223,-3.0125,53.0,-4.0
4.0,13.88888888888889,30.0,0.0,0.0,0.0,7.223802681992337,-3.236842105263158,55.0,-4.0
4.0,13.88888888888889,40.0,0.0,0.0,0.0,7.179487179487181,-3.1948051948051948,27.0,-4.0
4.0,13.88888888888889,50.0,0.0,0.0,0.0,7.679255861365953,-3.164383561643836,75.0,-4.0
9.0,13.88888888888889,-100.0,0.0,0.0,0.0,12.921196581196583,-1.3289473684210527,161.0,-2.0
9.0,13.88888888888889,200.0,0.0,0.0,0.0,11.774804381846634,-1.736842105263158,173.0,-4.0
